"coddisciplina","disciplina","size","Mode","media"
1108089,"Física Clássica",26,1,2.53846153846154
1109035,"Álgebra Vetorial e Geometria Analítica",23,1,2.43478260869565
1109049,"Álgebra Linear",29,1,3.13793103448276
1109053,"Cálculo Diferencial e Integral 2",42,1,2.9047619047619
1109103,"Cálculo Diferencial e Integral 1",27,1,2.18518518518519
1109113,"Matemática Discreta",38,4,2.76315789473684
1305219,"Direito e Cidadania",12,3,2.91666666666667
1305220,"Informática e Sociedade",19,1,2.26315789473684
1411168,"Programação 2",30,4,2.9
1411170,"Teoria dos Grafos",30,4,2.9
1411171,"Teoria da Computação",20,1,2.75
1411172,"Estrutura de Dados",27,1,2.96296296296296
1411174,"Introdução a Computação",10,1,1.4
1411176,"Gerência da Informação",22,4,2.77272727272727
1411178,"Sistemas de Informação 1",17,4,3.41176470588235
1411178,"Sistemas de Informação 2",17,4,3.41176470588235
1411179,"Laboratório de Estrutura de Dados",21,1,2.9047619047619
1411181,"Laboratório de Programação 2",32,4,3.125
