nota1,nota2,nota3,final,media,periodo,coddisciplina,disciplina,matricula,situacao,departamento,PeriodoRelativo
9,8.5,7.2,-1,8.2,20111,1411186,Projeto em Computação II,1071580,A,dsc,9
9.5,9.5,7.8,-1,8.9,20111,1411186,Projeto em Computação II,1071252,A,dsc,9
9,9,7.5,-1,8.5,20111,1411186,Projeto em Computação II,1062290,A,dsc,10
9,5.5,9,-1,7.8,20111,1411186,Projeto em Computação II,1062236,A,dsc,10
9,8.5,7,-1,8.2,20111,1411186,Projeto em Computação II,1071573,A,dsc,9
0,0,0,-1,0,20111,1411186,Projeto em Computação II,1111293,R,dsc,1
9,9,7.5,-1,8.5,20111,1411186,Projeto em Computação II,1062158,A,dsc,10
0,0,0,-1,0,20111,1411186,Projeto em Computação II,1061462,R,dsc,11
9.5,6.5,3,6.3,6.3,20111,1411186,Projeto em Computação II,107163,A,dsc,9
6,7,9.3,-1,7.4,20111,1411186,Projeto em Computação II,1061195,A,dsc,11
9.5,8,8.3,-1,8.6,20111,1411186,Projeto em Computação II,1071209,A,dsc,9
8,7.5,8.5,-1,8,20111,1411186,Projeto em Computação II,1071424,A,dsc,9
8.3,7.5,8.2,-1,8,20111,1411186,Projeto em Computação II,1071625,A,dsc,9
9,5.5,9,-1,7.8,20111,1411186,Projeto em Computação II,11015,A,dsc,3
9.5,9.5,7.7,-1,8.9,20111,1411186,Projeto em Computação II,1071343,A,dsc,9
9,9,7.5,-1,8.5,20111,1411186,Projeto em Computação II,1062526,A,dsc,10
9.5,8,8.3,-1,8.6,20111,1411186,Projeto em Computação II,1071436,A,dsc,9
9,5.7,9,-1,7.9,20111,1411186,Projeto em Computação II,1062152,A,dsc,10
9,7.5,7.5,-1,8,20111,1411186,Projeto em Computação II,107156,A,dsc,9
9.5,9.5,7.7,-1,8.9,20111,1411186,Projeto em Computação II,1071686,A,dsc,9
8.5,9,8.5,-1,8.6,20121,1411186,Projeto em Computação II,107296,A,dsc,10
9.5,10,8.5,-1,9,20121,1411186,Projeto em Computação II,1072460,A,dsc,10
8.5,9,8.5,-1,8.6,20121,1411186,Projeto em Computação II,1042694,A,dsc,16
9,9.5,9.5,-1,9.4,20121,1411186,Projeto em Computação II,108186,A,dsc,9
9,9,8,-1,8.4,20121,1411186,Projeto em Computação II,1081765,A,dsc,9
9,9,8,-1,8.4,20121,1411186,Projeto em Computação II,1081521,A,dsc,9
8.5,9,9,-1,8.9,20121,1411186,Projeto em Computação II,1081609,A,dsc,9
9,9,8,-1,8.4,20121,1411186,Projeto em Computação II,1082192,A,dsc,8
8.5,8.5,8.5,-1,8.5,20121,1411186,Projeto em Computação II,1081510,A,dsc,9
9.5,10,9.5,-1,9.6,20121,1411186,Projeto em Computação II,1091553,A,dsc,7
9,9,8,-1,8.4,20121,1411186,Projeto em Computação II,1082789,A,dsc,8
8.5,9,9,-1,8.9,20121,1411186,Projeto em Computação II,1081539,A,dsc,9
9.5,10,9.5,-1,9.6,20121,1411186,Projeto em Computação II,111224,A,dsc,2
9.5,10,9.5,-1,9.6,20121,1411186,Projeto em Computação II,112175,A,dsc,1
9,9.5,9.5,-1,9.4,20121,1411186,Projeto em Computação II,1081709,A,dsc,9
7,8,9,-1,8.4,20121,1411186,Projeto em Computação II,1101591,A,dsc,5
6.2,10,6.2,-1,7,20121,1411186,Projeto em Computação II,1071374,A,dsc,11
6,7,8.5,-1,7.7,20121,1411186,Projeto em Computação II,1071421,A,dsc,11
9.5,10,8.5,-1,9,20121,1411186,Projeto em Computação II,1072229,A,dsc,10
9.5,10,9.5,-1,9.6,20121,1411186,Projeto em Computação II,107246,A,dsc,10
8.5,8,8.5,-1,8.4,20121,1411186,Projeto em Computação II,1072211,A,dsc,10
9,9.5,9.5,-1,9.4,20121,1411186,Projeto em Computação II,1081282,A,dsc,9
8,9,8.5,-1,8.5,20121,1411186,Projeto em Computação II,1081332,A,dsc,9
8.5,8.5,8.5,-1,8.5,20121,1411186,Projeto em Computação II,1081763,A,dsc,9
8,8,8.5,-1,8.3,20121,1411186,Projeto em Computação II,1081178,A,dsc,9
8.5,9,9,-1,8.9,20121,1411186,Projeto em Computação II,1081141,A,dsc,9
