"CODIGO","DISCIPLINA","DEPARTAMENTO","TIPODEDISCIPLINA","SITUACAO","RESULTADORELATIVO"
1411269,"TECC(MINERAÇÃO DE DADOS)","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT",1,0.0833333333333333
1411221,"SISTEMAS DE INFORMAÇÕES GEOGRÁFICAS","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT",14,0.0869565217391304
1411192,"SISTEMAS OPERACIONAIS","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OBG",44,0.0894308943089431
1108090,"FUNDAMENTOS DE FÍSICA MODERNA","UNID. ACAD. DE FÍSICA","OBG",55,0.0932203389830508
1411256,"TEC(PRINCIPIOS DE ADMIN FINANCEIRA)","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT",22,0.0932203389830508
1411282,"TECC(ADMINISTRACAO DE SISTEMAS)","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT",2,0.0952380952380952
1305219,"DIREITO E CIDADANIA","UNID. ACAD. DE SOCIOLOGIA E ANTROPOLOGIA","OBG",69,0.0969101123595506
1411226,"REDES NEURAIS","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT",6,0.101694915254237
1411190,"REDES DE COMPUTADORES","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OBG",50,0.102249488752556
1411289,"TECC (ANÁLISE DE DADOS I)","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT",3,0.103448275862069
1411175,"ORG.E ARQUITETURA DE COMPUTADORES I","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OBG",55,0.10377358490566
1305220,"INFORMÁTICA E SOCIEDADE","UNID. ACAD. DE SOCIOLOGIA E ANTROPOLOGIA","OBG",78,0.104417670682731
1411249,"TECC (METODOS FORMAIS)","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT",3,0.107142857142857
1411272,"TECC(FLUXO DE TRABALHO INFORMATIZADO)","UNID. ACAD. DE SISTEMAS E COMPUTAÇÃO","OPT",5,0.108695652173913
1107227,"TE (ENGENHARIA DE POÇO)","UNID. ACAD. DE ENGENHARIA QUÍMICA","OPT",1,0.111111111111111
1307150,"INGLÊS","UNID. ACAD. DE LETRAS","OPT",38,0.111764705882353
