CodigoDisciplina,MatriculaAluno,Periodo,Nota1,Nota2,Nota3,Media,Final,Situacao,PeriodoRelativo
1411186,1071580,20111,9,8.5,7.2,8.2,-1,A,9
1411186,1071252,20111,9.5,9.5,7.8,8.9,-1,A,9
1411186,1062290,20111,9,9,7.5,8.5,-1,A,10
1411186,1062236,20111,9,5.5,9,7.8,-1,A,10
1411186,1071573,20111,9,8.5,7,8.2,-1,A,9
1411186,1111293,20111,0,0,0,0,-1,R,1
1411186,1062158,20111,9,9,7.5,8.5,-1,A,10
1411186,1061462,20111,0,0,0,0,-1,R,11
1411186,107163,20111,9.5,6.5,3,6.3,6.3,A,9
1411186,1061195,20111,6,7,9.3,7.4,-1,A,11
1411186,1071209,20111,9.5,8,8.3,8.6,-1,A,9
1411186,1071424,20111,8,7.5,8.5,8,-1,A,9
1411186,1071625,20111,8.3,7.5,8.2,8,-1,A,9
1411186,11015,20111,9,5.5,9,7.8,-1,A,3
1411186,1071343,20111,9.5,9.5,7.7,8.9,-1,A,9
1411186,1062526,20111,9,9,7.5,8.5,-1,A,10
1411186,1071436,20111,9.5,8,8.3,8.6,-1,A,9
1411186,1062152,20111,9,5.7,9,7.9,-1,A,10
1411186,107156,20111,9,7.5,7.5,8,-1,A,9
1411186,1071686,20111,9.5,9.5,7.7,8.9,-1,A,9
1411186,107296,20121,8.5,9,8.5,8.6,-1,A,10
1411186,1072460,20121,9.5,10,8.5,9,-1,A,10
1411186,1042694,20121,8.5,9,8.5,8.6,-1,A,16
1411186,108186,20121,9,9.5,9.5,9.4,-1,A,9
1411186,1081765,20121,9,9,8,8.4,-1,A,9
1411186,1081521,20121,9,9,8,8.4,-1,A,9
1411186,1081609,20121,8.5,9,9,8.9,-1,A,9
1411186,1082192,20121,9,9,8,8.4,-1,A,8
1411186,1081510,20121,8.5,8.5,8.5,8.5,-1,A,9
1411186,1091553,20121,9.5,10,9.5,9.6,-1,A,7
1411186,1082789,20121,9,9,8,8.4,-1,A,8
1411186,1081539,20121,8.5,9,9,8.9,-1,A,9
1411186,111224,20121,9.5,10,9.5,9.6,-1,A,2
1411186,112175,20121,9.5,10,9.5,9.6,-1,A,1
1411186,1081709,20121,9,9.5,9.5,9.4,-1,A,9
1411186,1101591,20121,7,8,9,8.4,-1,A,5
1411186,1071374,20121,6.2,10,6.2,7,-1,A,11
1411186,1071421,20121,6,7,8.5,7.7,-1,A,11
1411186,1072229,20121,9.5,10,8.5,9,-1,A,10
1411186,107246,20121,9.5,10,9.5,9.6,-1,A,10
1411186,1072211,20121,8.5,8,8.5,8.4,-1,A,10
1411186,1081282,20121,9,9.5,9.5,9.4,-1,A,9
1411186,1081332,20121,8,9,8.5,8.5,-1,A,9
1411186,1081763,20121,8.5,8.5,8.5,8.5,-1,A,9
1411186,1081178,20121,8,8,8.5,8.3,-1,A,9
1411186,1081141,20121,8.5,9,9,8.9,-1,A,9
1411186,1081645,20121,8.5,8.5,8.5,8.5,-1,A,9
1411186,1071551,20121,6.2,10,6.2,7,-1,A,11
1411186,1101788,20121,8.5,9,8.5,8.6,-1,A,5
1411186,1112603,20121,8.5,9,8.5,8.6,-1,A,2
1411186,1112345,20121,8.5,8.5,8.5,8.5,-1,A,2
1411186,1072703,20121,9.5,10,8.5,9,-1,A,10
1411186,1062626,20121,8.5,8,8.5,8.4,-1,A,12
1411186,108138,20122,8,8.5,8,8.2,-1,A,10
1411186,1081164,20122,9,8,8.5,8.5,-1,A,10
1411186,110185,20122,7.5,8.8,6,7.4,-1,A,6
1411186,1111234,20122,7.5,8.8,6,7.4,-1,A,4
1411186,1101750,20122,8.5,8.8,6,7.8,-1,A,6
1411186,1082100,20122,8,8.5,8,8.2,-1,A,9
1411186,1082216,20122,8,8.5,8,8.2,-1,A,9
1411186,1082156,20122,8,8.5,8,8.2,-1,A,9
1411186,1101220,20122,7,8.8,6,7.3,-1,A,6
1411186,1072624,20122,8.5,8.8,6,7.8,-1,A,11
1411186,1101143,20122,7.5,8.8,6,7.4,-1,A,6
1411186,1081311,20112,8.5,8.05,8.45,8.3,-1,A,8
1411186,107217,20112,8,8.2,8.8,8.3,-1,A,9
1411186,1091569,20112,9.5,8.5,8.7,8.9,-1,A,6
1411186,1082310,20112,8.5,7.8,8.1,8.1,-1,A,7
1411186,1052181,20112,5,6.15,6.7,5.6,5,A,13
1411186,1111293,20112,1.5,0,3.4,1.6,-1,R,2
1411186,1061601,20112,10,9.5,8.9,9.5,-1,A,12
1411186,1112622,20112,7,7.75,8.6,7.8,-1,A,1
1411186,1081241,20112,10,10,9.9,10,-1,A,8
1411186,1102772,20112,7.5,7.5,8.6,7.9,-1,A,3
1411186,1081149,20112,8.5,8.4,9.2,8.7,-1,A,8
1411186,1081578,20112,10,10,9.9,10,-1,A,8
1411186,1081467,20112,8.25,7.55,8.1,8,-1,A,8
1411186,1081406,20112,9,8.3,8.45,8.6,-1,A,8
1411186,106244,20112,9.25,9.25,8.8,9.1,-1,A,11
1411186,1071309,20112,9,7.65,6.6,7.8,-1,A,10
1411186,106219,20112,9.25,9,8.9,9.1,-1,A,11
1411186,1062531,20112,8.25,8.1,8.7,8.4,-1,A,11
1411186,1062762,20112,8.25,8.1,8.7,8.4,-1,A,11
1411186,1111101,20112,7,7,8.6,7.5,-1,A,2
1411186,1062704,20112,8.5,8.1,8.7,8.4,-1,A,11
1411186,1101591,20112,4.5,3.5,0,2.7,-1,R,4
1411186,111115,20112,6.75,7.15,7.45,7.1,-1,A,2
1411186,1071268,20112,9.75,9,8.9,9.2,-1,A,10
1411186,1072641,20112,8,8.7,8.8,8.5,-1,A,9
1411186,1081672,20112,8.75,8.05,8.1,8.3,-1,A,8
1411186,1072508,20112,8.5,8.5,8.7,8.6,-1,A,9
1411186,1072404,20112,8,8.7,8.8,8.5,-1,A,9
1411186,1072550,20112,9.25,9.25,8.8,9.1,-1,A,9
1411186,1072274,20112,9.25,9.25,8.8,9.1,-1,A,9
1411186,1081683,20112,10,10,9.9,10,-1,A,8
1411186,1092322,20112,9.5,8.5,8.7,8.9,-1,A,5
1411186,1081400,20112,8.5,8.4,9.2,8.7,-1,A,8
1411186,1052523,20112,5,6.15,6.7,5.6,5,A,13
1411186,1092251,20112,9.2,9.2,9.7,9.4,-1,A,5
1411186,1081700,20112,9.2,9.2,9.7,9.4,-1,A,8
1411186,1081190,20112,8.5,8.4,9.2,8.7,-1,A,8
1411186,1081186,20112,9.2,9.45,9.7,9.5,-1,A,8
1411186,1111292,20112,7.75,7.9,7.45,7.7,-1,A,2
1411186,1051259,20112,8,8.7,8.8,8.5,-1,A,14
1411186,106261,20112,8.25,8.1,8.7,8.4,-1,A,11
1108090,1111210,20111,10,10,6,8.7,-1,A,1
1108090,1111396,20111,8,10,3,7,-1,A,1
1108090,1101503,20111,10,10,3,7.7,-1,A,3
1108090,1101697,20111,10,10,6,8.7,-1,A,3
1108090,107220,20111,10,10,3,7.7,-1,A,8
1108090,1101750,20111,9,10,6.5,8.5,-1,A,3
1108090,1101335,20111,10,10,6,8.7,-1,A,3
1108090,108218,20111,10,9,7.5,8.8,-1,A,6
1108090,1101301,20111,10,10,7.5,9.2,-1,A,3
1108090,1101219,20111,10,10,3,7.7,-1,A,3
1108090,1091530,20111,10,10,6.5,8.8,-1,A,5
1108090,1101782,20111,10,10,10,10,-1,A,3
1108090,1101167,20111,10,10,3,7.7,-1,A,3
1108090,1092355,20111,10,10,9,9.7,-1,A,4
1108090,1091203,20111,10,10,5,8.3,-1,A,5
1108090,1111146,20111,10,10,8,9.3,-1,A,1
1108090,1101689,20111,10,10,2.5,7.5,-1,A,3
1108090,1091623,20111,10,9,5,8,-1,A,5
1108090,1101628,20111,10,10,4,8,-1,A,3
1108090,1092352,20111,10,10,9.5,9.8,-1,A,4
1108090,1111316,20111,10,10,5,8.3,-1,A,1
1108090,1111532,20111,10,10,5,8.3,-1,A,1
1108090,1092294,20111,10,10,5,8.3,-1,A,4
1108090,109173,20111,10,9,7.5,8.8,-1,A,5
1108090,1092375,20111,10,10,5,8.3,-1,A,4
1108090,1081191,20111,10,10,3,7.7,-1,A,7
1108090,1101281,20111,10,10,6.5,8.8,-1,A,3
1108090,1092742,20111,9,10,6,8.3,-1,A,4
1108090,1101295,20111,9,10,10,9.7,-1,A,3
1108090,1101722,20111,10,10,5,8.3,-1,A,3
1108090,1101379,20111,9,10,10,9.7,-1,A,3
1108090,1101737,20111,10,10,5,8.3,-1,A,3
1108090,1091116,20111,10,9,5,8,-1,A,5
1108090,1101514,20111,10,10,10,10,-1,A,3
1108090,1101179,20111,10,10,5,8.3,-1,A,3
1108090,1101108,20111,9,10,6,8.3,-1,A,3
1108090,1082497,20111,10,9,5,8,-1,A,6
1108090,1101607,20111,10,10,10,10,-1,A,3
1108090,1101247,20111,10,10,10,10,-1,A,3
1108090,110137,20111,10,10,7,9,-1,A,3
1108090,1101333,20111,10,10,5,8.3,-1,A,3
1108090,1101370,20111,10,10,5,8.3,-1,A,3
1108090,1101297,20111,9,10,8.5,9.2,-1,A,3
1108090,1092212,20111,10,10,7.5,9.2,-1,A,4
1108090,1092380,20111,10,10,6,8.7,-1,A,4
1108090,109245,20111,10,10,7.5,9.2,-1,A,4
1108090,1101669,20111,10,10,10,10,-1,A,3
1108090,1111304,20111,10,10,6,8.7,-1,A,1
1108090,110142,20111,9,10,9,9.3,-1,A,3
1108090,109187,20111,10,10,9,9.7,-1,A,5
1108090,1101771,20111,10,10,10,10,-1,A,3
1108090,1092103,20111,10,10,5,8.3,-1,A,4
1108090,1092513,20111,9,10,9.5,9.5,-1,A,4
1108090,1092483,20111,10,10,5,8.3,-1,A,4
1108090,1111359,20111,10,10,5,8.3,-1,A,1
1108090,1091744,20111,9,10,6,8.3,-1,A,5
1108090,1072244,20111,10,10,3,7.7,-1,A,8
1108090,1101408,20111,10,10,5,8.3,-1,A,3
1108090,1101682,20111,10,10,4.5,8.2,-1,A,3
1108090,1101610,20111,9,10,5,8,-1,A,3
1108090,1091368,20121,5,5,6,3.2,0,R,7
1108090,1111384,20121,8.3,7.3,8.5,8,-1,A,3
1108090,1121174,20121,5,6.8,6,5,3.6,A,1
1108090,111160,20121,10,8.5,9,9.2,-1,A,3
1108090,111198,20121,7.5,8.5,9,8.3,-1,A,3
1108090,111180,20121,6,6.2,9,7.1,-1,A,3
1108090,1111412,20121,10,7.5,9,8.8,-1,A,3
1108090,1111145,20121,8.8,7,8,7.9,-1,A,3
1108090,1111533,20121,10,9.5,8,9.2,-1,A,3
1108090,111177,20121,9.3,8,8.5,8.6,-1,A,3
1108090,1111442,20121,8.5,8,9,8.5,-1,A,3
1108090,1101793,20121,9.5,8.3,9,8.9,-1,A,5
1108090,1092277,20121,5,5,9,5.8,5,A,6
1108090,1101478,20121,6,7.5,9,7.5,-1,A,5
1108090,1111632,20121,9,9.3,9,9.1,-1,A,3
1108090,1111684,20121,10,8,9,9,-1,A,3
1108090,11027,20121,8.5,8.8,9,8.8,-1,A,4
1108090,1101318,20121,6,6,9,7,-1,A,5
1108090,1111134,20121,5.5,7,9,7.2,-1,A,3
1108090,1102605,20121,7.5,9.3,8,8.3,-1,A,4
1108090,1102262,20121,6.8,9,9,8.3,-1,A,4
1108090,1101450,20121,6.3,7.5,9,7.6,-1,A,5
1108090,1112757,20121,7.5,7.5,9,8,-1,A,2
